date,TimeCode,Open(JPY/kWh),High(JPY/kWh),Low(JPY/kWh),Close(JPY/kWh),Average(JPY/kWh),TotalTransactionVolume(MWh/h),TransactionNumber
2018/04/03,25,4.3,9.94,2.5,6.94,5.25,112.5,94
2018/04/03,26,4.48,12.08,2.55,12.08,4.98,244,100
2018/04/03,27,4.9,11.75,3.4,8.91,6.57,129.2,108
2018/04/03,28,8.75,11.8,5.13,11.8,6.71,139.8,118
2018/04/03,29,5.3,12.1,5.17,5.62,7.01,205.5,119
2018/04/03,30,5.62,13.92,5.4,5.41,6.93,235.9,125
2018/04/03,31,5.62,13.51,5.4,8.9,7.06,248.4,133
2018/04/03,32,6.2,14.44,4.2,9.12,8.99,532.9,143
2018/04/03,33,7.01,14.66,5.92,8.58,7.52,300.6,133
2018/04/03,34,7.76,15.16,7.13,9.11,8.22,319,170
2018/04/03,35,9.22,15.8,7.72,9.75,9.57,102.5,120
2018/04/03,36,9.22,15.81,8.7,12.22,10.12,92.5,113
2018/04/03,37,10.43,13.9,7.82,12,9.25,234.3,122
2018/04/03,38,10,15,7.73,15,9.47,232.4,116
2018/04/03,39,9.46,13,8.96,9.51,9.27,132.7,108
2018/04/03,40,9.36,13.43,6.13,9.56,7.81,210.7,118
2018/04/03,41,9.14,11.65,6.14,6.14,7.75,152.7,107
2018/04/03,42,8.94,11.92,5.6,6.24,7.37,259.7,122
2018/04/03,43,7.64,12.1,5,6.23,7.34,166.3,105
2018/04/03,44,7.62,11.16,5.6,6.14,7.49,203.9,110
2018/04/03,45,8.76,11.37,6.24,6.24,7.8,169.5,114
2018/04/03,46,8.66,11.68,6.14,6.34,7.73,184,107
2018/04/03,47,8.26,11.25,5.62,5.62,6.95,175.8,101
2018/04/03,48,8.66,10.58,5.62,5.62,6.91,209.5,108
2018/04/04,1,11,11,5.62,6.14,6.4,352.2,102
2018/04/04,2,9.77,9.77,5.62,6.25,6.31,363,106
2018/04/04,3,9.8,10.96,5.62,6.25,6.43,338.5,110
2018/04/04,4,9.99,10.95,5.63,6.25,6.51,289.8,100
2018/04/04,5,9.96,9.96,3.8,6.24,6.66,253.5,87
2018/04/04,6,10.01,11.15,4.1,8,7.03,255.1,87
2018/04/04,7,10.53,10.53,4.7,8,6.96,209.7,84
2018/04/04,8,10.63,11.22,4.7,6.24,7.13,294,86
2018/04/04,9,11.37,11.37,6.24,6.49,7.2,124.1,82
2018/04/04,10,10.57,11.18,4.7,6.49,7.05,128.7,80
2018/04/04,11,10.68,12.18,6.91,7.14,7.46,125.8,84
2018/04/04,12,10.07,12.14,6.87,7.07,7.22,134.4,86
2018/04/04,13,10.19,12.21,6.83,8.5,7.23,174.7,84
2018/04/04,14,6.98,12.7,6.28,8.56,6.94,182.7,79
2018/04/04,15,10.7,13,4.8,8.56,6.79,187.4,80
2018/04/04,16,7.32,13,6.54,8.56,7.3,194.4,93
2018/04/04,17,5.93,13,3.9,7.09,6.28,230,83
2018/04/04,18,6.68,12.01,6.17,8.84,6.97,168.6,80
2018/04/04,19,6.68,12.2,6,9.66,6.92,155.1,80
2018/04/04,20,6.68,12,6,9.46,6.92,158.5,81
2018/04/04,21,6.68,11.98,6,6.6,6.8,160.1,81
2018/04/04,22,6.68,12,6,6.73,6.84,163.5,83
2018/04/04,23,6.68,12,6,6.73,6.88,171.7,94
2018/04/04,24,6.68,11,6,8.19,6.94,176.5,94
2018/04/04,25,5.16,10.4,3.1,5.08,5.84,100.2,93
2018/04/04,26,5.16,10.53,3.1,6.09,5.83,101.2,90
2018/04/04,27,6.68,11.18,5.62,10.94,6.75,406.6,114
2018/04/04,28,6.68,12,5.62,8.99,6.95,361.2,112
2018/04/04,29,7.3,10.29,5.62,8.83,7.15,301.1,109
2018/04/04,30,6.68,12.11,5.78,8,7.34,295.9,110
2018/04/04,31,6.68,12,5.78,7.39,8.11,362.8,115
2018/04/04,32,7.92,13.5,6.21,10.73,9.35,486.8,124
2018/04/04,33,10.26,14.66,7.58,9.63,10.04,237.5,127
2018/04/04,34,9.94,16.03,8.7,9.88,9.51,231.3,111
2018/04/04,35,9.81,15.87,8.81,9.81,9.98,184,135
2018/04/04,36,9.49,16,9.31,9.99,9.97,186.8,109
2018/04/04,37,10.63,14.71,9.02,14.71,9.8,280.9,131
2018/04/04,38,9.02,13.2,8.92,9.99,9.81,295,121
2018/04/04,39,9.97,13.3,9.02,11,9.68,249.3,119
2018/04/04,40,8.86,13.38,7.76,10.5,9.09,237.8,101
2018/04/04,41,8.75,12.04,7.96,9.38,8.99,262.3,101
2018/04/04,42,8.39,13.09,7.63,9.02,8.3,98,90
2018/04/04,43,7.52,12.13,7.42,10,8.12,92,84
2018/04/04,44,7.37,11.05,7.37,8.04,7.76,95,82
2018/04/04,45,8.82,12.85,8.09,9,8.57,126,98
2018/04/04,46,10.78,11.96,7.36,7.91,7.87,101.4,93
2018/04/04,47,10.62,11.61,6.14,7.93,7.65,115,98
2018/04/04,48,6.98,11.31,6.33,7.25,6.93,221.7,87
2018/04/05,1,7.45,10.95,6.83,7.95,7.52,137.2,82
2018/04/05,2,6.72,10.95,3.8,8,7.06,113.3,77
2018/04/05,3,5.97,10.98,5.87,8,7.14,150.7,80
2018/04/05,4,5.97,10.98,5.97,8,7.14,154.4,79
2018/04/05,5,6.62,8,4.5,8,7.12,161.8,77
2018/04/05,6,6.73,8,5.93,8,7.3,211.2,85
2018/04/05,7,7.46,10.36,5.3,8.63,7.84,120,85
2018/04/05,8,7.35,10.55,5.2,8.63,7.76,119.8,83
2018/04/05,9,7.52,11.12,5.4,8.63,7.94,121.6,81
2018/04/05,10,7.52,11.2,5.4,7.45,7.93,127.7,81
2018/04/05,11,8.96,12.1,6.52,7.46,7.49,148.6,90
2018/04/05,12,8.75,12.1,6.27,8.94,7.42,139.8,97
2018/04/05,13,8.85,12.1,7.24,7.55,8.07,120,87
2018/04/05,14,8.63,10.19,6.96,8.38,7.72,145.4,82
2018/04/05,15,6.88,12.1,4.5,8.24,7.59,134,88
2018/04/05,16,9.19,10.24,5.1,8.42,7.84,86.5,95
2018/04/05,17,7.58,11.81,3.2,6.75,6.69,162.1,83
2018/04/05,18,8.69,12.8,7.27,8.52,8.09,73.2,79
2018/04/05,19,8.57,12.11,7.28,7.94,8.09,66.6,77
2018/04/05,20,8.58,11.33,7.28,7.94,8.08,70.8,80
2018/04/05,21,7.65,11.25,6.4,8.52,7.07,116.2,84
2018/04/05,22,6.8,11.07,6.41,8,7,114.8,86
2018/04/05,23,10.94,11.24,6.66,8.52,7.22,47.6,80
2018/04/05,24,10.84,11.14,6.63,7.95,7.22,54.8,87
2018/04/05,25,7.49,15,3.4,6.91,6.84,345.3,111
2018/04/05,26,7.49,9.2,3.3,9.2,6.25,242.6,110
2018/04/05,27,9.17,11.27,6.8,8.31,7.5,69.8,102
2018/04/05,28,11.91,15,7.03,15,8.19,82.5,106
2018/04/05,29,8.38,11.88,7.88,9,8.81,100.8,95
2018/04/05,30,8.38,12.14,7.63,7.98,8.26,142,109
2018/04/05,31,8.35,11.9,7.85,8.5,8.45,144.2,110
2018/04/05,32,8.43,12.6,7.93,12.6,8.86,86.5,107
2018/04/05,33,8.38,15,7.8,10,9.45,70,97
2018/04/05,34,7.56,15.99,6.56,8.78,9.07,91.9,99
2018/04/05,35,7.56,15,6.56,8.89,9.27,87.1,98
2018/04/05,36,8.63,15,8.63,10.97,9.76,139.7,105
2018/04/05,37,8.97,15,8.75,9.99,10.19,210.1,118
2018/04/05,38,9.22,15,8.99,11.12,10.18,269.1,116
2018/04/05,39,10.06,13.2,8.4,10.2,9.93,395.7,119
2018/04/05,40,9.12,13.79,8.01,9.39,9.22,101,93
2018/04/05,41,8.96,12.9,8.44,9.96,9.31,74.8,85
2018/04/05,42,8.61,12.9,8.12,9.03,8.95,43.2,71
2018/04/05,43,8.75,13.43,6.6,8.89,9.13,41.2,76
2018/04/05,44,7.59,12.09,7.25,9.25,8.37,40.7,72
2018/04/05,45,9.12,11.58,8.37,8.88,9.32,48.8,90
2018/04/05,46,11.7,11.7,7.37,8.75,8.65,49.5,81
2018/04/05,47,11.47,11.47,7.25,8.63,8.63,45,75
2018/04/05,48,10.92,10.92,7.25,8.04,8.18,56.7,78
2018/04/06,1,8.86,11.81,7.43,8.71,8.68,55.8,65
2018/04/06,2,8.2,10.54,6.34,7.52,7.96,50.4,65
2018/04/06,3,6.09,8.63,3.9,6.81,7.52,57.8,67
2018/04/06,4,6.98,11.9,3.9,11.9,7.55,59.9,77
2018/04/06,5,6.98,8.5,4.3,5.62,7.11,156,80
2018/04/06,6,7.33,10.32,6.77,8.5,7.91,135,86
2018/04/06,7,7.52,8.5,5,7.52,7.92,132.2,88
2018/04/06,8,7.52,10.91,6.64,6.64,7.92,140.1,82
2018/04/06,9,7.62,11.34,5.62,5.62,7.67,211.4,85
2018/04/06,10,7.63,11.33,5.62,5.62,7.57,192.9,89
2018/04/06,11,9.52,12.1,5.62,5.62,7.29,190.6,85
2018/04/06,12,9.53,12.3,5.71,5.71,7.69,168.7,86
2018/04/06,13,8.71,15,6.98,6.98,9.3,125.7,72
2018/04/06,14,9.41,15,5.71,5.71,9.55,124.2,80
2018/04/06,15,8.71,12.6,6.05,6.05,7.99,123,81
2018/04/06,16,11.97,15,6.64,6.64,10.05,133.2,83
2018/04/06,17,7.62,14.9,6.63,6.64,7.11,153,79
2018/04/06,18,8.95,15.99,7.5,7.5,8.51,248,95
2018/04/06,19,8.59,20,8.59,20,10.43,30.1,69
2018/04/06,20,8.88,20,8.88,8.94,9.95,31.4,73
2018/04/06,21,7.52,17.82,7.32,8.85,8.15,49.6,67
2018/04/06,22,7.62,19.43,7.62,8.27,9.31,50,75
2018/04/06,23,6.89,15.6,6.89,7.81,9.49,65.8,78
2018/04/06,24,6.84,15.6,6.84,8.8,8.86,78.7,77
2018/04/06,25,6.09,19.9,5.92,7.43,7.34,149.6,87
2018/04/06,26,5.98,15.99,4.4,6.77,7.44,208.6,101
2018/04/06,27,8.71,15.99,8.42,8.42,9.78,88.2,101
2018/04/06,28,8.65,17.82,8.15,8.65,9.94,96.6,103
2018/04/06,29,9.09,19.9,9,9.78,10.64,122.9,104
2018/04/06,30,8.88,19.9,8.88,9.55,10.61,99.3,96
2018/04/06,31,9.25,19.9,9.25,15,10.28,157.1,97
2018/04/06,32,9.22,19.9,9.22,9.73,10.1,173.3,91
2018/04/06,33,13.27,19.33,10.46,11.17,11.15,209.7,128
2018/04/06,34,10.51,17.4,10.51,13.04,10.96,125.6,111
2018/04/06,35,9.99,14.9,9.79,11.17,10.65,90.4,117
2018/04/06,36,11.06,14.9,9.84,12,10.89,208.6,122
2018/04/06,37,9.93,15.99,9.22,11.06,10.15,77.2,112
2018/04/06,38,9.93,15.99,9.22,12.01,10.51,120.3,115
2018/04/06,39,9.47,15,8.97,14.26,10.55,144.5,101
2018/04/06,40,9.34,15,8.34,11,9.8,192.6,102
2018/04/06,41,9.2,15,8.49,11,9.76,177.9,98
2018/04/06,42,8.39,14.71,7.14,10,8.97,201.3,90
2018/04/06,43,7.62,13.65,7.62,9.5,9.11,87.7,74
2018/04/06,44,7.23,12.54,7.23,9.36,8.32,68.7,76
2018/04/06,45,8.88,11.64,8.88,9.5,9.2,50.5,78
2018/04/06,46,11.6,12.08,7.6,12.08,9.02,48.2,80
2018/04/06,47,10.03,11.61,7.63,9.5,8.64,210.4,98
2018/04/06,48,9.44,11.15,6.84,10.43,7.82,137.4,93
2018/04/07,1,11.97,11.97,8.43,8.63,8.85,80.6,60
2018/04/07,2,11.31,11.31,8.14,8.22,8.67,74,68
2018/04/07,3,10.81,10.81,6.68,6.68,8.4,75.7,77
2018/04/07,4,10.97,10.97,6.84,6.84,8.49,108.2,84
2018/04/07,5,10.88,10.88,7.2,8.66,8.44,120.2,80
2018/04/07,6,10.88,10.88,7.28,8.71,8.67,174,81
2018/04/07,7,11.27,11.27,7.14,7.14,8.98,157.1,82
2018/04/07,8,11.32,11.32,7.19,9,8.63,149.3,77
2018/04/07,9,11.58,11.58,7.45,10.02,8.43,167.3,76
2018/04/07,10,11.37,11.37,7.24,10.65,8.49,178.6,84
2018/04/07,11,11.13,11.15,7.14,11.15,8.49,162.9,94
2018/04/07,12,10.58,10.6,7.1,8.22,8.48,167.6,91
2018/04/07,13,10.46,10.46,6.75,8.63,8.43,139.1,78
2018/04/07,14,9.57,10.56,5.44,10.56,8.23,102.7,77
2018/04/07,15,10.09,10.09,5,8.83,8.35,160.1,85
2018/04/07,16,9.3,9.3,5.17,8.63,8.07,151.1,89
2018/04/07,17,8.8,12.14,5.35,8.87,8.04,129.8,84
2018/04/07,18,8.78,12.11,6.04,8.82,8.44,180.9,92
2018/04/07,19,9.5,13,6.44,8.81,7.94,237.5,89
2018/04/07,20,9.5,15,7.08,10.99,8.33,239,87
2018/04/07,21,8.8,12.04,6.7,9,8.33,205.5,93
2018/04/07,22,8.8,12.01,7.08,8.13,8.45,186.1,84
2018/04/07,23,8.77,11.98,6.58,8.08,8.27,252.3,91
2018/04/07,24,8.78,12.01,6.54,6.57,8.27,199,99
2018/04/07,25,8.75,11.05,5.54,11.05,7.55,118.1,148
2018/04/07,26,8.65,11.05,5.69,9.48,7.1,145.9,77
2018/04/07,27,8.62,11.05,7.08,8.81,8.14,200.1,95
2018/04/07,28,8.59,11.97,6.71,6.83,8.15,190.6,93
2018/04/07,29,8.59,12.14,6.85,9,7.92,292.6,117
2018/04/07,30,8.59,13.45,5.96,8.9,8.2,248.1,127
2018/04/07,31,8.81,12,6.65,8.74,8.41,234.4,100
2018/04/07,32,8.81,13.75,6.8,13.75,8.57,276.1,108
2018/04/07,33,9.21,12.8,6.89,9,8.4,262,107
2018/04/07,34,9.1,12.9,7.56,8.9,8.71,160.7,88
2018/04/07,35,10.99,15,7.61,10,9.14,74.9,78
2018/04/07,36,10.91,13.5,8.03,11.61,10.33,118.7,100
2018/04/07,37,10.99,13.77,8.81,12,10.17,176.9,97
2018/04/07,38,10.99,13.6,9.66,10.51,10.79,183.6,108
2018/04/07,39,10.99,13.77,9.04,9.44,10.07,137.8,93
2018/04/07,40,10.99,13.47,8.81,11.06,10.94,189.5,110
2018/04/07,41,10.99,13.77,9.01,9.86,10.31,160.9,82
2018/04/07,42,9.88,13.54,8.6,9.67,9.69,85.6,64
2018/04/07,43,9.18,13.2,8.7,8.7,9.52,68.1,75
2018/04/07,44,9.23,12.11,7.68,9.86,8.87,97.5,71
2018/04/07,45,11.59,12,7.44,8.88,8.86,115.3,103
2018/04/07,46,11.57,11.57,7.08,9,8.48,196.8,99
2018/04/07,47,11.08,11.08,6.95,8.81,8.41,154.7,83
2018/04/07,48,11.15,11.15,7.08,8.81,8.32,107.4,67
2018/04/08,1,11.47,11.47,8.25,8.53,8.86,62.6,69
2018/04/08,2,10.54,11.03,6.91,8.63,8.12,73.2,81
2018/04/08,3,10.65,10.9,6.87,7.68,7.93,67.6,80
2018/04/08,4,11.03,11.03,7.52,8.63,8.32,65.9,67
2018/04/08,5,11.19,11.19,8.09,8.59,8.55,105.1,83
2018/04/08,6,11.43,11.43,8.48,9.3,9.25,252.3,147
2018/04/08,7,12.18,12.18,8.55,10.65,9.26,496.4,181
2018/04/08,8,12.06,12.06,8.42,10.65,9.55,338.5,99
2018/04/08,9,12.41,12.41,8.55,10.65,9.33,361.1,96
2018/04/08,10,12.41,12.41,8.63,10.65,9.38,305.6,151
2018/04/08,11,12.25,12.25,8.63,10.65,9.39,274.7,93
2018/04/08,12,11.5,11.5,8.37,8.48,9.36,217.5,168
2018/04/08,13,10.31,13.56,6.92,13.56,8.85,302.8,138
2018/04/08,14,9.66,12.38,6.21,12.38,7.87,260.5,129
2018/04/08,15,9.63,11.43,6.01,8.5,6.7,174.3,83
2018/04/08,16,8.93,12.3,5.69,8.5,6.69,180.8,97
2018/04/08,17,6.44,10.09,3.4,5.94,5.87,93.9,74
2018/04/08,18,7.94,9.88,5.33,6.56,5.73,219.7,86
2018/04/08,19,8.68,9.98,5.26,5.99,5.74,200.8,92
2018/04/08,20,7.87,8.57,5.16,6.37,5.71,184.1,84
2018/04/08,21,8.69,8.69,3,5.62,6.07,40.3,83
2018/04/08,22,8.38,8.38,3,5.62,5.92,42,80
2018/04/08,23,8.33,8.33,3,5.78,5.65,38.5,78
2018/04/08,24,8.23,9.62,4.56,5.62,6.04,41,76
2018/04/08,25,8.42,8.42,4.56,5.85,5.75,38.4,78
2018/04/08,26,8.69,8.69,4.56,5.99,5.91,41.7,79
2018/04/08,27,8.19,8.3,5.1,6.15,5.85,53.6,83
2018/04/08,28,8.39,10,5.11,6.05,6.07,52.8,80
2018/04/08,29,7.96,9.65,5.16,6.21,6.11,29.4,73
2018/04/08,30,8.45,9.97,4.97,7.52,6.18,34.3,86
2018/04/08,31,8.32,8.32,5.17,7.64,6.44,37.6,83
2018/04/08,32,9.05,10.14,5.71,6.25,6.58,34.9,80
2018/04/08,33,9.62,12.85,6.39,7.09,7.73,50.1,78
2018/04/08,34,9.8,13.41,6.94,7.58,7.97,88.7,86
2018/04/08,35,7.53,12.9,7.53,8.57,8.8,30.4,70
2018/04/08,36,8.98,13.1,8.78,9.28,9.34,45.5,80
2018/04/08,37,10.91,14.8,8.41,10.47,10.84,241.7,94
2018/04/08,38,11.06,13.2,9.27,10.57,10.98,350.3,137
2018/04/08,39,11.06,15.27,9.27,10.61,11.2,674.9,142
2018/04/08,40,11.02,14.95,9.41,10.47,10.91,153.3,92
2018/04/08,41,9.9,12.8,9.47,9.81,10.8,439.2,114
2018/04/08,42,8.97,13.77,8.85,11,10.32,208.3,94
2018/04/08,43,9,13.28,8.93,10.65,10.23,288.1,102
2018/04/08,44,8.94,12.9,8.42,10.65,9.32,50.7,83
2018/04/08,45,11.54,11.54,8.29,9.38,8.97,79.2,95
2018/04/08,46,11.44,11.44,7.53,9.38,8.36,110.9,96
2018/04/08,47,10.75,10.75,7.05,10,7.89,76.8,85
2018/04/08,48,10.45,10.45,5.94,9.65,7.15,151.3,78
2018/04/09,1,5.6,11.34,5.6,8.5,8.38,144.7,62
2018/04/09,2,7.67,10.62,7.66,8.5,8.12,101.3,64
2018/04/09,3,5.4,10.66,5.4,8.26,8.13,122.5,72
2018/04/09,4,5.5,10.81,5.5,9.07,8.38,182.4,73
2018/04/09,5,5.5,10.81,5.5,8.5,8.17,112.1,67
2018/04/09,6,5.6,11.27,5.6,8.6,8.35,112.2,62
2018/04/09,7,6.3,11.88,6.3,9.42,8.74,172.7,62
2018/04/09,8,6.3,12.07,6.3,8.7,8.67,306,60
2018/04/09,9,6.2,12.31,6.2,8.66,8.59,243.3,63
2018/04/09,10,6.4,12.02,6.4,9,8.69,210.1,65
2018/04/09,11,12.19,12.19,8.46,9.43,8.85,225.8,72
2018/04/09,12,11.34,11.58,8.37,8.5,8.61,149.2,74
2018/04/09,13,11.38,14.83,6.7,8.63,9.22,137.7,72
2018/04/09,14,11.5,14.98,6.7,9.59,9.84,148.2,75
2018/04/09,15,11.44,14.91,8.52,8.73,9.4,192.5,84
2018/04/09,16,11.66,15.18,8.63,8.63,9.89,164,79
2018/04/09,17,4.5,12,4.5,11.21,8.16,47.5,72
2018/04/09,18,7.53,13.06,6.85,13.04,9.59,74.9,69
2018/04/09,19,6.69,15,6.69,6.89,7.8,69.3,70
2018/04/09,20,6.85,14.2,6.8,11.37,7.94,67.8,65
2018/04/09,21,12.19,15,3.98,8.9,7.08,134.2,85
2018/04/09,22,12.19,14.2,3.98,6.6,6.9,87,69
